epoch 1 / 48,             	step 100 / 1875,             	loss = 0.7464
epoch 1 / 48,             	step 200 / 1875,             	loss = 0.3270
epoch 1 / 48,             	step 300 / 1875,             	loss = 0.3675
epoch 1 / 48,             	step 400 / 1875,             	loss = 0.3001
epoch 1 / 48,             	step 500 / 1875,             	loss = 0.3422
epoch 1 / 48,             	step 600 / 1875,             	loss = 0.2358
epoch 1 / 48,             	step 700 / 1875,             	loss = 0.2663
epoch 1 / 48,             	step 800 / 1875,             	loss = 0.1858
epoch 1 / 48,             	step 900 / 1875,             	loss = 0.1693
epoch 1 / 48,             	step 1000 / 1875,             	loss = 0.3784
epoch 1 / 48,             	step 1100 / 1875,             	loss = 0.1619
epoch 1 / 48,             	step 1200 / 1875,             	loss = 0.1835
epoch 1 / 48,             	step 1300 / 1875,             	loss = 0.1702
epoch 1 / 48,             	step 1400 / 1875,             	loss = 0.2102
epoch 1 / 48,             	step 1500 / 1875,             	loss = 0.3462
epoch 1 / 48,             	step 1600 / 1875,             	loss = 0.1998
epoch 1 / 48,             	step 1700 / 1875,             	loss = 0.2728
epoch 1 / 48,             	step 1800 / 1875,             	loss = 0.0659
epoch 2 / 48,             	step 100 / 1875,             	loss = 0.0639
epoch 2 / 48,             	step 200 / 1875,             	loss = 0.1632
epoch 2 / 48,             	step 300 / 1875,             	loss = 0.0522
epoch 2 / 48,             	step 400 / 1875,             	loss = 0.1193
epoch 2 / 48,             	step 500 / 1875,             	loss = 0.2604
epoch 2 / 48,             	step 600 / 1875,             	loss = 0.0750
epoch 2 / 48,             	step 700 / 1875,             	loss = 0.0585
epoch 2 / 48,             	step 800 / 1875,             	loss = 0.0647
epoch 2 / 48,             	step 900 / 1875,             	loss = 0.0453
epoch 2 / 48,             	step 1000 / 1875,             	loss = 0.0251
epoch 2 / 48,             	step 1100 / 1875,             	loss = 0.0571
epoch 2 / 48,             	step 1200 / 1875,             	loss = 0.1640
epoch 2 / 48,             	step 1300 / 1875,             	loss = 0.0382
epoch 2 / 48,             	step 1400 / 1875,             	loss = 0.0701
epoch 2 / 48,             	step 1500 / 1875,             	loss = 0.1195
epoch 2 / 48,             	step 1600 / 1875,             	loss = 0.0859
epoch 2 / 48,             	step 1700 / 1875,             	loss = 0.0093
epoch 2 / 48,             	step 1800 / 1875,             	loss = 0.0180
epoch 3 / 48,             	step 100 / 1875,             	loss = 0.0118
epoch 3 / 48,             	step 200 / 1875,             	loss = 0.0685
epoch 3 / 48,             	step 300 / 1875,             	loss = 0.0107
epoch 3 / 48,             	step 400 / 1875,             	loss = 0.0212
epoch 3 / 48,             	step 500 / 1875,             	loss = 0.0163
epoch 3 / 48,             	step 600 / 1875,             	loss = 0.2310
epoch 3 / 48,             	step 700 / 1875,             	loss = 0.0227
epoch 3 / 48,             	step 800 / 1875,             	loss = 0.0129
epoch 3 / 48,             	step 900 / 1875,             	loss = 0.0639
epoch 3 / 48,             	step 1000 / 1875,             	loss = 0.1785
epoch 3 / 48,             	step 1100 / 1875,             	loss = 0.0030
epoch 3 / 48,             	step 1200 / 1875,             	loss = 0.0198
epoch 3 / 48,             	step 1300 / 1875,             	loss = 0.2881
epoch 3 / 48,             	step 1400 / 1875,             	loss = 0.0105
epoch 3 / 48,             	step 1500 / 1875,             	loss = 0.0024
epoch 3 / 48,             	step 1600 / 1875,             	loss = 0.0351
epoch 3 / 48,             	step 1700 / 1875,             	loss = 0.2809
epoch 3 / 48,             	step 1800 / 1875,             	loss = 0.0273
epoch 4 / 48,             	step 100 / 1875,             	loss = 0.0007
epoch 4 / 48,             	step 200 / 1875,             	loss = 0.0052
epoch 4 / 48,             	step 300 / 1875,             	loss = 0.0218
epoch 4 / 48,             	step 400 / 1875,             	loss = 0.0607
epoch 4 / 48,             	step 500 / 1875,             	loss = 0.0331
epoch 4 / 48,             	step 600 / 1875,             	loss = 0.0016
epoch 4 / 48,             	step 700 / 1875,             	loss = 0.0063
epoch 4 / 48,             	step 800 / 1875,             	loss = 0.0189
epoch 4 / 48,             	step 900 / 1875,             	loss = 0.0192
epoch 4 / 48,             	step 1000 / 1875,             	loss = 0.0113
epoch 4 / 48,             	step 1100 / 1875,             	loss = 0.0065
epoch 4 / 48,             	step 1200 / 1875,             	loss = 0.0038
epoch 4 / 48,             	step 1300 / 1875,             	loss = 0.0064
epoch 4 / 48,             	step 1400 / 1875,             	loss = 0.0034
epoch 4 / 48,             	step 1500 / 1875,             	loss = 1.2979
epoch 4 / 48,             	step 1600 / 1875,             	loss = 0.0142
epoch 4 / 48,             	step 1700 / 1875,             	loss = 0.0024
epoch 4 / 48,             	step 1800 / 1875,             	loss = 0.8996
