epoch 1 / 48,             	step 100 / 1875,             	loss = 2.2353
epoch 1 / 48,             	step 200 / 1875,             	loss = 2.1532
epoch 1 / 48,             	step 300 / 1875,             	loss = 2.0752
epoch 1 / 48,             	step 400 / 1875,             	loss = 2.0340
epoch 1 / 48,             	step 500 / 1875,             	loss = 1.9447
epoch 1 / 48,             	step 600 / 1875,             	loss = 1.8653
epoch 1 / 48,             	step 700 / 1875,             	loss = 1.8459
epoch 1 / 48,             	step 800 / 1875,             	loss = 1.7156
epoch 1 / 48,             	step 900 / 1875,             	loss = 1.6516
epoch 1 / 48,             	step 1000 / 1875,             	loss = 1.5073
epoch 1 / 48,             	step 1100 / 1875,             	loss = 1.3933
epoch 1 / 48,             	step 1200 / 1875,             	loss = 1.3284
epoch 1 / 48,             	step 1300 / 1875,             	loss = 1.0848
epoch 1 / 48,             	step 1400 / 1875,             	loss = 1.0797
epoch 1 / 48,             	step 1500 / 1875,             	loss = 1.0006
epoch 1 / 48,             	step 1600 / 1875,             	loss = 0.9078
epoch 1 / 48,             	step 1700 / 1875,             	loss = 0.7625
epoch 1 / 48,             	step 1800 / 1875,             	loss = 0.6731
epoch 2 / 48,             	step 100 / 1875,             	loss = 0.6610
epoch 2 / 48,             	step 200 / 1875,             	loss = 0.6030
epoch 2 / 48,             	step 300 / 1875,             	loss = 0.5281
epoch 2 / 48,             	step 400 / 1875,             	loss = 0.6010
epoch 2 / 48,             	step 500 / 1875,             	loss = 0.4479
epoch 2 / 48,             	step 600 / 1875,             	loss = 0.4746
epoch 2 / 48,             	step 700 / 1875,             	loss = 0.4453
epoch 2 / 48,             	step 800 / 1875,             	loss = 0.5413
epoch 2 / 48,             	step 900 / 1875,             	loss = 0.7416
epoch 2 / 48,             	step 1000 / 1875,             	loss = 0.3362
epoch 2 / 48,             	step 1100 / 1875,             	loss = 0.4657
epoch 2 / 48,             	step 1200 / 1875,             	loss = 0.4301
epoch 2 / 48,             	step 1300 / 1875,             	loss = 0.4416
epoch 2 / 48,             	step 1400 / 1875,             	loss = 0.3948
epoch 2 / 48,             	step 1500 / 1875,             	loss = 0.4388
epoch 2 / 48,             	step 1600 / 1875,             	loss = 0.4593
epoch 2 / 48,             	step 1700 / 1875,             	loss = 0.3348
epoch 2 / 48,             	step 1800 / 1875,             	loss = 0.1909
epoch 3 / 48,             	step 100 / 1875,             	loss = 0.7928
epoch 3 / 48,             	step 200 / 1875,             	loss = 0.3050
epoch 3 / 48,             	step 300 / 1875,             	loss = 0.4785
epoch 3 / 48,             	step 400 / 1875,             	loss = 0.2975
epoch 3 / 48,             	step 500 / 1875,             	loss = 0.5170
epoch 3 / 48,             	step 600 / 1875,             	loss = 0.2701
epoch 3 / 48,             	step 700 / 1875,             	loss = 0.3923
epoch 3 / 48,             	step 800 / 1875,             	loss = 0.4190
epoch 3 / 48,             	step 900 / 1875,             	loss = 0.4714
epoch 3 / 48,             	step 1000 / 1875,             	loss = 0.4267
epoch 3 / 48,             	step 1100 / 1875,             	loss = 0.2085
epoch 3 / 48,             	step 1200 / 1875,             	loss = 0.5615
epoch 3 / 48,             	step 1300 / 1875,             	loss = 0.3772
epoch 3 / 48,             	step 1400 / 1875,             	loss = 0.5519
epoch 3 / 48,             	step 1500 / 1875,             	loss = 0.3877
epoch 3 / 48,             	step 1600 / 1875,             	loss = 0.5814
epoch 3 / 48,             	step 1700 / 1875,             	loss = 0.2168
epoch 3 / 48,             	step 1800 / 1875,             	loss = 0.6862
epoch 4 / 48,             	step 100 / 1875,             	loss = 0.3567
epoch 4 / 48,             	step 200 / 1875,             	loss = 0.4480
epoch 4 / 48,             	step 300 / 1875,             	loss = 0.4930
epoch 4 / 48,             	step 400 / 1875,             	loss = 0.1663
epoch 4 / 48,             	step 500 / 1875,             	loss = 0.1901
epoch 4 / 48,             	step 600 / 1875,             	loss = 0.4608
epoch 4 / 48,             	step 700 / 1875,             	loss = 0.2888
epoch 4 / 48,             	step 800 / 1875,             	loss = 0.3740
epoch 4 / 48,             	step 900 / 1875,             	loss = 0.1113
epoch 4 / 48,             	step 1000 / 1875,             	loss = 0.3239
epoch 4 / 48,             	step 1100 / 1875,             	loss = 0.3136
epoch 4 / 48,             	step 1200 / 1875,             	loss = 0.9980
epoch 4 / 48,             	step 1300 / 1875,             	loss = 0.3238
epoch 4 / 48,             	step 1400 / 1875,             	loss = 0.2469
epoch 4 / 48,             	step 1500 / 1875,             	loss = 0.3308
epoch 4 / 48,             	step 1600 / 1875,             	loss = 0.1973
epoch 4 / 48,             	step 1700 / 1875,             	loss = 0.2738
epoch 4 / 48,             	step 1800 / 1875,             	loss = 0.3649
epoch 5 / 48,             	step 100 / 1875,             	loss = 0.4362
epoch 5 / 48,             	step 200 / 1875,             	loss = 0.2730
epoch 5 / 48,             	step 300 / 1875,             	loss = 0.3844
epoch 5 / 48,             	step 400 / 1875,             	loss = 0.2005
epoch 5 / 48,             	step 500 / 1875,             	loss = 0.5800
epoch 5 / 48,             	step 600 / 1875,             	loss = 0.1825
epoch 5 / 48,             	step 700 / 1875,             	loss = 0.2321
epoch 5 / 48,             	step 800 / 1875,             	loss = 0.1636
epoch 5 / 48,             	step 900 / 1875,             	loss = 0.1301
epoch 5 / 48,             	step 1000 / 1875,             	loss = 0.1154
epoch 5 / 48,             	step 1100 / 1875,             	loss = 0.4093
epoch 5 / 48,             	step 1200 / 1875,             	loss = 0.1207
epoch 5 / 48,             	step 1300 / 1875,             	loss = 0.4496
epoch 5 / 48,             	step 1400 / 1875,             	loss = 0.4109
epoch 5 / 48,             	step 1500 / 1875,             	loss = 0.2825
epoch 5 / 48,             	step 1600 / 1875,             	loss = 0.2183
epoch 5 / 48,             	step 1700 / 1875,             	loss = 0.1381
epoch 5 / 48,             	step 1800 / 1875,             	loss = 0.5107
epoch 6 / 48,             	step 100 / 1875,             	loss = 0.5591
epoch 6 / 48,             	step 200 / 1875,             	loss = 0.2348
epoch 6 / 48,             	step 300 / 1875,             	loss = 0.4021
epoch 6 / 48,             	step 400 / 1875,             	loss = 0.4388
epoch 6 / 48,             	step 500 / 1875,             	loss = 0.3631
